French translation of Countries (A_Value / SH_Value);";";-;fr
Belgique;Belgium
Bermudes;Bermuda
Aruba;Aruba
Iles Falkland (Malouines);Falkland Islands
Israël / Palestine et bande de Gaza;Israel
Libye;Libya
Micronésie (États fédérés de);Micronesia
Corée du Sud;South Korea
Syrie;Syria
Bosnie-Herzégovine;Bosnia and Herzegovina
Cameroun;Cameroon
Iles Cayman;Cayman Islands
Comores;Comoros
Costa Rica;Costa Rica
République tchèque;Czech Republic
République dominicaine;Dominican Republic
Éthiopie;Ethiopia
Gibraltar;Gibraltar
Guam;Guam
Guinée-Bissau;Guinea-Bissau
Hong Kong;Hong Kong
Indonésie;Indonesia
Kiribati;Kiribati
Kirghizistan;Kyrgyzstan
Liban;Lebanon
Madagascar;Madagascar
Malte;Malta
Maurice;Mauritius
Nauru;Nauru
Nigeria;Nigeria
Oman;Oman
Panama;Panama
Papouasie - Nouvelle Guinée;Papua New Guinea
Slovaquie;Slovakia
Afrique du Sud;South Africa
Suède;Sweden
Albanie;Albania
;Vatican City
Afghanistan;Afghanistan
Algérie;Algeria
Anguilla;Anguilla
Macédoine;Macedonia
Turkménistan;Turkmenistan
Émirats arabes unis;United Arab Emirates
Argentine;Argentina
Azerbaïdjan;Azerbaijan
République centrafricaine;Central African Republic
Terres australes françaises;French Southern Territories
Saint-Vincent-et-les Grenadines;Saint Vincent and the Grenadines
Iles Turks-et-Caicos;Turks and Caicos Islands
Angola;Angola
Chypre;Cyprus
Antigua-et-Barbuda;Antigua and Barbuda
Autriche;Austria
Brunei;Brunei
Salvador;El Salvador
Arménie;Armenia
Australie;Australia
Bahamas;Bahamas
Bahreïn;Bahrain
Bangladesh;Bangladesh
Barbade;Barbados
Biélorussie;Belarus
Belize;Belize
Bénin;Benin
Bhoutan;Bhutan
Bolivie;Bolivia
Botswana;Botswana
Brésil;Brazil
Bulgarie;Bulgaria
Burkina Faso;Burkina Faso
Burundi;Burundi
Cambodge;Cambodia
Canada;Canada
Cap-Vert;Cape Verde
Tchad;Chad
Chili;Chile
Chine;China
Colombie;Colombia
Iles Cook;Cook Islands
Croatie;Croatia
Cuba;Cuba
Congo;Democratic Republic of the Congo
Danemark;Denmark
Andorre;Andorra
Djibouti;Djibouti
Dominique;Dominica
Corée du Nord;North Korea
Équateur;Ecuador
Égypte;Egypt
Guinée équatoriale;Equatorial Guinea
Érythrée;Eritrea
Estonie;Estonia
Iles Féroé;Faroe Islands
Fidji;Fiji
Finlande;Finland
France;France
Guyane française;French Guiana
Polynésie française;French Polynesia
Samoa américaines;American Samoa
Cote d'Ivoire;Côte d'Ivoire
Géorgie;Georgia
Allemagne;Germany
Ghana;Ghana
Grèce;Greece
Grenade;Grenada
Guatemala;Guatemala
Guinée;Guinea
Guadeloupe;Guadeloupe
Guyana;Guyana
Haïti;Haiti
Honduras;Honduras
Hongrie;Hungary
Islande;Iceland
Inde;India
Iran;Iran
Iraq;Iraq
Irlande;Ireland
Italie;Italy
Jamaïque;Jamaica
Japon;Japan
Jordanie;Jordan
Kazakhstan;Kazakhstan
Kenya;Kenya
Koweït;Kuwait
Laos;Laos
Lettonie;Latvia
Lesotho;Lesotho
Liberia;Liberia
Liechtenstein;Liechtenstein
Lituanie;Lithuania
Luxembourg;Luxembourg
Malawi;Malawi
Malaisie;Malaysia
Macao;Macao
Maldives;Maldives
Mali;Mali
Iles Marshall;Marshall Islands
Martinique;Martinique
Mauritanie;Mauritania
Mexique;Mexico
Moldavie;Moldova
Monaco;Monaco
Mongolie;Mongolia
Montserrat;Montserrat
Maroc;Morocco
Mozambique;Mozambique
Birmanie;Myanmar
Namibie;Namibia
Népal;Nepal
Pays-Bas;Netherlands
Nouvelle-Calédonie;New Caledonia
Nouvelle-Zélande;New Zealand
Nicaragua;Nicaragua
Gabon;Gabon
Norvège;Norway
Pakistan;Pakistan
Palaos;Palau
Paraguay;Paraguay
Pérou;Peru
Philippines;Philippines
Niger;Niger
Portugal;Portugal
Puerto Rico;Puerto Rico
Qatar;Qatar
Réunion;Reunion
Roumanie;Romania
Rwanda;Rwanda
Sainte-Hélène;Saint Helena
Russie;Russia
Sainte-Lucie;Saint Lucia
Saint-Pierre-et-Miquelon;Saint Pierre and Miquelon
Samoa;Samoa
Saint-Marin;San Marino
Sao Tomé-et-Principe;Sao Tome and Principe
Arabie saoudite;Saudi Arabia
Sénégal;Senegal
Seychelles;Seychelles
Sierra Leone;Sierra Leone
Singapour;Singapore
Slovénie;Slovenia
Îles Salomon;Solomon Islands
Somalie;Somalia
Espagne;Spain
Sri Lanka;Sri Lanka
Soudan;Sudan
Suriname;Suriname
Swaziland;Swaziland
Suisse;Switzerland
Taïwan;Taiwan
Tadjikistan;Tajikistan
Thaïlande;Thailand
Togo;Togo
Tanzanie;Tanzania
Tokelau;Tokelau
Niue;Niue
Tonga;Tonga
Trinité-et-Tobago;Trinidad and Tobago
Tunisie;Tunisia
Turquie;Turkey
Tuvalu;Tuvalu
Ouganda;Uganda
Ukraine;Ukraine
Gambie;Gambia
Pologne;Poland
Yémen;Yemen
Zambie;Zambia
Iles Vierges britanniques;British Virgin Islands
Iles Vierges américaines;Virgin Islands, U.S.
Wallis-et-Futuna;Wallis and Futuna
Palestine;Palestina
Zimbabwe;Zimbabwe
Royaume-Uni;United Kingdom
États-Unis;United States
Uruguay;Uruguay
Ouzbékistan;Uzbekistan
Vanuatu;Vanuatu
Venezuela;Venezuela
Viêt Nam;Vietnam
Antilles néerlandaises;Bonaire, Saint Eustatius and Saba
Åland;Åland
Antarctique;Antarctica
Île Bouvet;Bouvet Island
Territoire britannique de l'océan Indien;British Indian Ocean Territory
Île Christmas;Christmas Island
Île de Clipperton;Clipperton Island
Îles Cocos;Cocos Islands
Curaçao;Curaçao
Timor oriental;East Timor
Groenland;Greenland
Guernesey;Guernsey
Îles Heard-et-MacDonald;Heard Island and McDonald Islands
Île de Man;Isle of Man
Jersey;Jersey
Kosovo;Kosovo
Mayotte;Mayotte
Monténégro;Montenegro
Norfolk;Norfolk Island
Îles Mariannes du Nord;Northern Mariana Islands
Îles Pitcairn;Pitcairn Islands
République du Congo;Republic of Congo
Saint-Christophe-et-Niévès;Saint Kitts and Nevis
Saint-Barthélemy;Saint-Barthélemy
Saint-Martin (Antilles françaises);Saint-Martin
Serbie;Serbia
Saint-Martin (Royaume des Pays-Bas);Sint Maarten
Géorgie du Sud-et-les Îles Sandwich du Sud;South Georgia and the South Sandwich Islands
Soudan du Sud;South Sudan
Îles Spratleys;Spratly islands
Svalbard et Jan Mayen;Svalbard and Jan Mayen
Îles mineures éloignées des États-Unis;United States Minor Outlying Islands
Sahara occidental;Western Sahara
